xflr5 v6.43

Plane name :        left aileron -5
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.981197   0.189969   0.000573   0.190542  -0.003547  -0.016942  -0.072556   0.000622   0.000622   30.0000    -0.0057
  -24.500     0.000  -1.940045   0.182933   0.000573   0.183507  -0.003409  -0.016971  -0.069703   0.000624   0.000624   30.0000    -0.0057
  -24.000     0.000  -1.898648   0.175967   0.000573   0.176540  -0.003273  -0.016999  -0.066930   0.000625   0.000625   30.0000    -0.0056
  -23.500     0.000  -1.857018   0.169074   0.000573   0.169647  -0.003137  -0.017026  -0.064241   0.000625   0.000625   30.0000    -0.0055
  -23.000     0.000  -1.815169   0.162259   0.000573   0.162833  -0.003003  -0.017052  -0.061637   0.000623   0.000623   30.0000    -0.0054
  -22.500     0.000  -1.773113   0.155529   0.000573   0.156102  -0.002870  -0.017077  -0.059120   0.000621   0.000621   30.0000    -0.0054
  -22.000     0.000  -1.730862   0.148887   0.003621   0.152508  -0.002738  -0.017101  -0.056500   0.000617   0.000618   30.0000    -0.0053
  -21.500     0.000  -1.688431   0.142338   0.003425   0.145763  -0.002608  -0.017125  -0.054176   0.000613   0.000613   30.0000    -0.0053
  -21.000     0.000  -1.645831   0.135887   0.006460   0.142348  -0.002480  -0.017148  -0.051673   0.000601   0.000607   30.0000    -0.0053
  -20.500     0.000  -1.603075   0.129539   0.006058   0.135597  -0.002353  -0.017170  -0.049557   0.000597   0.000600   30.0000    -0.0053
  -20.000     0.000  -1.560176   0.123298   0.005750   0.129048  -0.002227  -0.017191  -0.047527   0.000589   0.000591   30.0000    -0.0054
  -19.500     0.000  -1.517147   0.117168   0.005617   0.122785  -0.002103  -0.017212  -0.045642   0.000579   0.000582   30.0000    -0.0054
  -19.000     0.000  -1.474001   0.111155   0.006904   0.118058  -0.001981  -0.017233  -0.043603   0.000735   0.000571   30.0000    -0.0055
  -18.500     0.000  -1.430750   0.105262   0.008020   0.113282  -0.001860  -0.017253  -0.041696   0.000543   0.000559   30.0000    -0.0056
  -18.000     0.000  -1.387407   0.099494   0.007573   0.107066  -0.001741  -0.017272  -0.040084   0.000535   0.000546   30.0000    -0.0057
  -17.500     0.000  -1.343984   0.093855   0.008502   0.102356  -0.001624  -0.017291  -0.039015   0.000521   0.000531   30.0000    -0.0059
  -17.000     0.000  -1.300494   0.088349   0.007722   0.096070  -0.001509  -0.017310  -0.037419   0.000508   0.000516   30.0000    -0.0061
  -16.500     0.000  -1.256950   0.082980   0.009430   0.092410  -0.001395  -0.017329  -0.036731   0.000492   0.000499   30.0000    -0.0063
  -16.000     0.000  -1.213364   0.077753   0.010263   0.088017  -0.001284  -0.017347  -0.035267   0.000657   0.000481   30.0000    -0.0066
  -15.500     0.000  -1.169748   0.072671   0.011855   0.084526  -0.001174  -0.017366  -0.034154   0.000429   0.000461   30.0000    -0.0069
  -15.000     0.000  -1.126116   0.067739   0.013949   0.081687  -0.001067  -0.017384  -0.033145   0.000101   0.000441   30.0000    -0.0073
  -14.500     0.000  -1.082478   0.062959   0.015653   0.078612  -0.000961  -0.017402  -0.032116   0.000476   0.000419   30.0000    -0.0077
  -14.000     0.000  -1.038848   0.058336   0.015607   0.073943  -0.000858  -0.017420  -0.031564   0.000404   0.000397   30.0000    -0.0082
  -13.500     0.000  -0.995237   0.053872   0.014525   0.068397  -0.000757  -0.017438  -0.030733   0.000370   0.000373   30.0000    -0.0087
  -13.000     0.000  -0.951659   0.049573   0.013835   0.063408  -0.000657  -0.017456  -0.030092   0.000342   0.000348   30.0000    -0.0094
  -12.500     0.000  -0.908125   0.045440   0.014572   0.060012  -0.000560  -0.017474  -0.029355   0.000654   0.000322   30.0000    -0.0101
  -12.000     0.000  -0.864647   0.041478   0.016045   0.057522  -0.000466  -0.017493  -0.028562   0.000721   0.000295   30.0000    -0.0110
  -11.500     0.000  -0.821240   0.037688   0.017486   0.055174  -0.000373  -0.017512  -0.027908   0.000644   0.000267   30.0000    -0.0119
  -11.000     0.000  -0.777914   0.034075   0.016554   0.050629  -0.000283  -0.017530  -0.027865   0.000537   0.000238   30.0000    -0.0131
  -10.500     0.000  -0.734683   0.030641   0.019025   0.049667  -0.000195  -0.017550  -0.027331   0.000954   0.000208   30.0000    -0.0143
  -10.000     0.000  -0.691560   0.027389   0.021528   0.048917  -0.000109  -0.017569  -0.026951  -0.000448   0.000177   30.0000    -0.0159
   -9.500     0.000  -0.648559   0.024321   0.019100   0.043421  -0.000026  -0.017589  -0.027555  -0.000027   0.000145   30.0000    -0.0176
   -9.000     0.000  -0.605695   0.021440   0.018157   0.039596   0.000055  -0.017609  -0.028036  -0.000031   0.000112   30.0000    -0.0197
   -8.500     0.000  -0.562981   0.018747   0.017355   0.036102   0.000133  -0.017629  -0.028608  -0.000051   0.000078   30.0000    -0.0221
   -8.000     0.000  -0.520433   0.016245   0.016660   0.032906   0.000209  -0.017649  -0.029280  -0.000075   0.000044   30.0000    -0.0249
   -7.500     0.000  -0.478069   0.013936   0.016069   0.030004   0.000282  -0.017670  -0.030050  -0.000106   0.000009   30.0000    -0.0283
   -7.000     0.000  -0.435906   0.011820   0.015545   0.027365   0.000353  -0.017690  -0.030920  -0.000139  -0.000027   30.0000    -0.0325
   -6.500     0.000  -0.393961   0.009900   0.015074   0.024974   0.000421  -0.017711  -0.031888  -0.000172  -0.000064   30.0000    -0.0375
   -6.000     0.000  -0.352255   0.008176   0.014654   0.022830   0.000487  -0.017731  -0.032949  -0.000209  -0.000101   30.0000    -0.0439
   -5.500     0.000  -0.310805   0.006649   0.014272   0.020921   0.000550  -0.017750  -0.034097  -0.000246  -0.000139   30.0000    -0.0519
   -5.000     0.000  -0.269627   0.005320   0.013916   0.019235   0.000610  -0.017769  -0.035325  -0.000277  -0.000177   30.0000    -0.0624
   -4.500     0.000  -0.228730   0.004189   0.013620   0.017808   0.000668  -0.017787  -0.036627  -0.000306  -0.000216   30.0000    -0.0767
   -4.000     0.000  -0.188096   0.003256   0.013371   0.016626   0.000723  -0.017804  -0.038006  -0.000342  -0.000255   30.0000    -0.0972
   -3.500     0.000  -0.147651   0.002520   0.013154   0.015674   0.000774  -0.017823  -0.039495  -0.000380  -0.000294   30.0000    -0.1290
   -3.000     0.000  -0.107176   0.001980   0.012981   0.014961   0.000821  -0.017848  -0.041202  -0.000416  -0.000334   30.0000    -0.1857
   -2.500     0.000  -0.066171   0.001628   0.012887   0.014515   0.000864  -0.017894  -0.043424  -0.000461  -0.000375   30.0000    -0.3172
   -2.000     0.000  -0.023873   0.001457   0.012831   0.014288   0.000900  -0.017976  -0.046712  -0.000497  -0.000417   30.0000    -0.9448
   -1.500     0.000   0.019874   0.001441   0.012767   0.014208   0.000926  -0.018039  -0.051339  -0.000529  -0.000458   30.0000     1.2446
   -1.000     0.000   0.063369   0.001578   0.012671   0.014249   0.000961  -0.017956  -0.056114  -0.000562  -0.000499   30.0000     0.4255
   -0.500     0.000   0.104186   0.002002   0.012423   0.014424   0.000977  -0.017823  -0.059181  -0.000589  -0.000535   30.0000     0.2723
    0.000     0.000   0.142576   0.002618   0.012172   0.014791   0.001001  -0.017812  -0.060764  -0.000620  -0.000573   30.0000     0.2038
    0.500     0.000   0.180233   0.003427   0.012014   0.015441   0.001031  -0.017855  -0.062063  -0.000651  -0.000613   30.0000     0.1643
