xflr5 v6.43

Plane name :        left aileron 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.794469   0.163081   0.000575   0.163656   0.002576   0.035599  -0.165764  -0.001564  -0.001564   30.0000    -0.0424
  -24.500     0.000  -1.752911   0.156400   0.000575   0.156975   0.002572   0.035544  -0.165207  -0.001558  -0.001558   30.0000    -0.0434
  -24.000     0.000  -1.711130   0.149803   0.000575   0.150377   0.002566   0.035488  -0.164702  -0.001550  -0.001550   30.0000    -0.0445
  -23.500     0.000  -1.669138   0.143294   0.002211   0.145505   0.002559   0.035430  -0.164143  -0.001573  -0.001538   30.0000    -0.0456
  -23.000     0.000  -1.626947   0.136880   0.003573   0.140453   0.002550   0.035371  -0.163657  -0.001523  -0.001524   30.0000    -0.0468
  -22.500     0.000  -1.584570   0.130564   0.004987   0.135551   0.002539   0.035311  -0.163186  -0.001609  -0.001507   30.0000    -0.0480
  -22.000     0.000  -1.542019   0.124351   0.006329   0.130681   0.002526   0.035249  -0.162780  -0.001477  -0.001488   30.0000    -0.0494
  -21.500     0.000  -1.499309   0.118247   0.005967   0.124213   0.002511   0.035187  -0.162579  -0.001458  -0.001465   30.0000    -0.0508
  -21.000     0.000  -1.456451   0.112255   0.007550   0.119805   0.002494   0.035124  -0.162187  -0.001637  -0.001441   30.0000    -0.0524
  -20.500     0.000  -1.413458   0.106380   0.006871   0.113251   0.002476   0.035060  -0.162149  -0.001564  -0.001413   30.0000    -0.0541
  -20.000     0.000  -1.370342   0.100627   0.006532   0.107160   0.002455   0.034996  -0.162125  -0.001521  -0.001384   30.0000    -0.0559
  -19.500     0.000  -1.327117   0.095000   0.007833   0.102833   0.002432   0.034931  -0.162019  -0.001320  -0.001351   30.0000    -0.0578
  -19.000     0.000  -1.283795   0.089504   0.008708   0.098211   0.002408   0.034866  -0.161906  -0.001488  -0.001317   30.0000    -0.0599
  -18.500     0.000  -1.240388   0.084142   0.008242   0.092384   0.002381   0.034801  -0.162082  -0.001436  -0.001280   30.0000    -0.0621
  -18.000     0.000  -1.196909   0.078919   0.009573   0.088492   0.002352   0.034736  -0.162929  -0.001377  -0.001240   30.0000    -0.0646
  -17.500     0.000  -1.153370   0.073839   0.008683   0.082522   0.002322   0.034670  -0.162995  -0.001322  -0.001199   30.0000    -0.0672
  -17.000     0.000  -1.109784   0.068905   0.008040   0.076945   0.002289   0.034605  -0.163202  -0.001284  -0.001155   30.0000    -0.0701
  -16.500     0.000  -1.066163   0.064122   0.010766   0.074889   0.002254   0.034541  -0.163997  -0.001049  -0.001109   30.0000    -0.0732
  -16.000     0.000  -1.022520   0.059494   0.010329   0.069823   0.002217   0.034476  -0.164412  -0.001010  -0.001061   30.0000    -0.0766
  -15.500     0.000  -0.978867   0.055024   0.011710   0.066734   0.002178   0.034413  -0.165415  -0.001011  -0.001011   30.0000    -0.0804
  -15.000     0.000  -0.935215   0.050715   0.012556   0.063271   0.002137   0.034349  -0.166272  -0.000913  -0.000960   30.0000    -0.0845
  -14.500     0.000  -0.891577   0.046572   0.012927   0.059499   0.002094   0.034287  -0.166421  -0.000592  -0.000906   30.0000    -0.0890
  -14.000     0.000  -0.847966   0.042597   0.014885   0.057482   0.002049   0.034225  -0.167077  -0.000881  -0.000851   30.0000    -0.0940
  -13.500     0.000  -0.804392   0.038793   0.013944   0.052737   0.002002   0.034165  -0.167728  -0.000819  -0.000794   30.0000    -0.0996
  -13.000     0.000  -0.760870   0.035165   0.020609   0.055773   0.001953   0.034105  -0.166814  -0.003099  -0.000736   30.0000    -0.1059
  -12.500     0.000  -0.717410   0.031714   0.018685   0.050399   0.001902   0.034046  -0.168198  -0.001124  -0.000676   30.0000    -0.1130
  -12.000     0.000  -0.674025   0.028443   0.025059   0.053502   0.001848   0.033988  -0.167734  -0.003991  -0.000614   30.0000    -0.1209
  -11.500     0.000  -0.630728   0.025356   0.019965   0.045320   0.001793   0.033932  -0.169744  -0.001382  -0.000552   30.0000    -0.1300
  -11.000     0.000  -0.587532   0.022454   0.021206   0.043660   0.001735   0.033877  -0.170514  -0.000369  -0.000488   30.0000    -0.1405
  -10.500     0.000  -0.544449   0.019740   0.020021   0.039761   0.001675   0.033823  -0.171851  -0.000394  -0.000423   30.0000    -0.1526
  -10.000     0.000  -0.501493   0.017216   0.019060   0.036277   0.001614   0.033770  -0.173216  -0.000383  -0.000357   30.0000    -0.1669
   -9.500     0.000  -0.458678   0.014884   0.018234   0.033118   0.001550   0.033718  -0.174625  -0.000354  -0.000291   30.0000    -0.1837
   -9.000     0.000  -0.416019   0.012746   0.017544   0.030290   0.001484   0.033668  -0.176084  -0.000318  -0.000223   30.0000    -0.2041
   -8.500     0.000  -0.373533   0.010804   0.016931   0.027735   0.001416   0.033618  -0.177598  -0.000275  -0.000155   30.0000    -0.2290
   -8.000     0.000  -0.331235   0.009058   0.016369   0.025426   0.001345   0.033569  -0.179166  -0.000227  -0.000086   30.0000    -0.2603
   -7.500     0.000  -0.289144   0.007509   0.015871   0.023380   0.001273   0.033521  -0.180785  -0.000174  -0.000016   30.0000    -0.3006
   -7.000     0.000  -0.247279   0.006158   0.015399   0.021556   0.001199   0.033473  -0.182453  -0.000111   0.000054   30.0000    -0.3543
   -6.500     0.000  -0.205662   0.005005   0.014967   0.019972   0.001123   0.033425  -0.184163  -0.000043   0.000124   30.0000    -0.4295
   -6.000     0.000  -0.164312   0.004048   0.014598   0.018646   0.001045   0.033375  -0.185904   0.000014   0.000195   30.0000    -0.5421
   -5.500     0.000  -0.123250   0.003288   0.014279   0.017567   0.000965   0.033324  -0.187670   0.000076   0.000265   30.0000    -0.7287
   -5.000     0.000  -0.082493   0.002722   0.013989   0.016710   0.000884   0.033270  -0.189453   0.000145   0.000336   30.0000    -1.0978
   -4.500     0.000  -0.042039   0.002349   0.013773   0.016122   0.000802   0.033213  -0.191247   0.000209   0.000407   30.0000    -2.1722
   -4.000     0.000  -0.001845   0.002175   0.013589   0.015764   0.000718   0.033156  -0.193079   0.000275   0.000477   30.0000   -49.9089
   -3.500     0.000   0.038245   0.002209   0.013432   0.015641   0.000631   0.033111  -0.195031   0.000351   0.000548   30.0000     2.4294
   -3.000     0.000   0.078598   0.002464   0.013327   0.015792   0.000540   0.033106  -0.197325   0.000422   0.000620   30.0000     1.1947
   -2.500     0.000   0.119804   0.002943   0.013232   0.016174   0.000451   0.033169  -0.200363   0.000492   0.000690   30.0000     0.7949
   -2.000     0.000   0.162381   0.003572   0.013113   0.016685   0.000366   0.033239  -0.204549   0.000586   0.000761   30.0000     0.5980
   -1.500     0.000   0.205498   0.004361   0.012948   0.017309   0.000281   0.033087  -0.209263   0.000690   0.000830   30.0000     0.4829
   -1.000     0.000   0.247164   0.005382   0.012737   0.018119   0.000207   0.032802  -0.213056   0.000764   0.000891   30.0000     0.4083
   -0.500     0.000   0.286129   0.006581   0.012504   0.019086   0.000117   0.032671  -0.215202   0.000830   0.000953   30.0000     0.3559
    0.000     0.000   0.323530   0.007965   0.012372   0.020337   0.000009   0.032650  -0.216556   0.000887   0.001017   30.0000     0.3164
    0.500     0.000   0.360568   0.009542   0.012243   0.021786  -0.000108   0.032644  -0.217870   0.000944   0.001082   30.0000     0.2854
    1.000     0.000   0.397618   0.011317   0.012329   0.023646  -0.000228   0.032626  -0.219339   0.000962   0.001146   30.0000     0.2603
    1.500     0.000   0.434711   0.013289   0.012709   0.025998  -0.000349   0.032595  -0.220963   0.000929   0.001208   30.0000     0.2397
    2.000     0.000   0.471797   0.015458   0.013012   0.028470  -0.000471   0.032554  -0.222706   0.000961   0.001269   30.0000     0.2224
    2.500     0.000   0.508816   0.017824   0.013220   0.031044  -0.000596   0.032507  -0.224529   0.001023   0.001329   30.0000     0.2078
    3.000     0.000   0.545717   0.020388   0.013650   0.034038  -0.000707   0.032456  -0.226407   0.001007   0.001380   30.0000     0.1952
    3.500     0.000   0.582458   0.023149   0.014403   0.037552  -0.000841   0.032402  -0.228324   0.000912   0.001440   30.0000     0.1844
