xflr5 v6.43

Plane name :        left aileron -5
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.940875   0.182595   0.000573   0.183168  -0.003448  -0.016836  -0.091843   0.000614   0.000614   30.0000    -0.0127
  -24.500     0.000  -1.899541   0.175645   0.000573   0.176218  -0.003307  -0.016862  -0.089477   0.000615   0.000615   30.0000    -0.0128
  -24.000     0.000  -1.857967   0.168768   0.000573   0.169341  -0.003166  -0.016888  -0.087188   0.000616   0.000616   30.0000    -0.0129
  -23.500     0.000  -1.816166   0.161968   0.000573   0.162541  -0.003027  -0.016913  -0.084978   0.000615   0.000615   30.0000    -0.0130
  -23.000     0.000  -1.774150   0.155250   0.000573   0.155823  -0.002888  -0.016937  -0.082847   0.000613   0.000613   30.0000    -0.0132
  -22.500     0.000  -1.731933   0.148619   0.003899   0.152518  -0.002751  -0.016960  -0.080587   0.000609   0.000610   30.0000    -0.0134
  -22.000     0.000  -1.689527   0.142080   0.003545   0.145624  -0.002615  -0.016982  -0.078646   0.000605   0.000605   30.0000    -0.0136
  -21.500     0.000  -1.646944   0.135637   0.005091   0.140728  -0.002481  -0.017003  -0.076631   0.000710   0.000600   30.0000    -0.0138
  -21.000     0.000  -1.604199   0.129295   0.006291   0.135587  -0.002348  -0.017024  -0.074736   0.000589   0.000593   30.0000    -0.0141
  -20.500     0.000  -1.561303   0.123059   0.005941   0.129000  -0.002216  -0.017044  -0.073059   0.000582   0.000585   30.0000    -0.0144
  -20.000     0.000  -1.518269   0.116933   0.005650   0.122584  -0.002085  -0.017064  -0.071467   0.000574   0.000576   30.0000    -0.0148
  -19.500     0.000  -1.475111   0.110922   0.005524   0.116447  -0.001956  -0.017083  -0.070009   0.000564   0.000566   30.0000    -0.0152
  -19.000     0.000  -1.431841   0.105031   0.008546   0.113576  -0.001829  -0.017101  -0.068189   0.000515   0.000554   30.0000    -0.0156
  -18.500     0.000  -1.388471   0.099262   0.007826   0.107088  -0.001703  -0.017119  -0.066921   0.000528   0.000541   30.0000    -0.0161
  -18.000     0.000  -1.345014   0.093622   0.007424   0.101046  -0.001579  -0.017137  -0.065713   0.000517   0.000527   30.0000    -0.0166
  -17.500     0.000  -1.301483   0.088113   0.008354   0.096467  -0.001456  -0.017154  -0.065036   0.000502   0.000512   30.0000    -0.0172
  -17.000     0.000  -1.257891   0.082741   0.007606   0.090346  -0.001335  -0.017171  -0.063839   0.000488   0.000496   30.0000    -0.0178
  -16.500     0.000  -1.214250   0.077508   0.010556   0.088064  -0.001216  -0.017188  -0.063336   0.000666   0.000478   30.0000    -0.0186
  -16.000     0.000  -1.170572   0.072420   0.010069   0.082489  -0.001099  -0.017205  -0.062444   0.000627   0.000459   30.0000    -0.0194
  -15.500     0.000  -1.126871   0.067480   0.011748   0.079228  -0.000984  -0.017221  -0.061690   0.000385   0.000439   30.0000    -0.0203
  -15.000     0.000  -1.083157   0.062692   0.013546   0.076237  -0.000871  -0.017238  -0.061082   0.000116   0.000418   30.0000    -0.0212
  -14.500     0.000  -1.039444   0.058059   0.016119   0.074178  -0.000759  -0.017254  -0.060127   0.000921   0.000396   30.0000    -0.0223
  -14.000     0.000  -0.995744   0.053585   0.016160   0.069745  -0.000650  -0.017270  -0.059938   0.000806   0.000372   30.0000    -0.0235
  -13.500     0.000  -0.952070   0.049274   0.015989   0.065263  -0.000543  -0.017287  -0.059220   0.000297   0.000348   30.0000    -0.0249
  -13.000     0.000  -0.908433   0.045129   0.016463   0.061592  -0.000437  -0.017303  -0.058745   0.000617   0.000322   30.0000    -0.0264
  -12.500     0.000  -0.864846   0.041153   0.016820   0.057972  -0.000334  -0.017320  -0.058412   0.000259   0.000295   30.0000    -0.0281
  -12.000     0.000  -0.821321   0.037349   0.019448   0.056797  -0.000233  -0.017336  -0.057715   0.001468   0.000267   30.0000    -0.0300
  -11.500     0.000  -0.777871   0.033721   0.019489   0.053210  -0.000134  -0.017353  -0.057684   0.000927   0.000239   30.0000    -0.0322
  -11.000     0.000  -0.734510   0.030271   0.020471   0.050743  -0.000038  -0.017371  -0.057562   0.000041   0.000209   30.0000    -0.0347
  -10.500     0.000  -0.691248   0.027003   0.019380   0.046383   0.000056  -0.017388  -0.057976   0.000038   0.000178   30.0000    -0.0375
  -10.000     0.000  -0.648101   0.023918   0.018465   0.042383   0.000148  -0.017406  -0.058470   0.000020   0.000146   30.0000    -0.0407
   -9.500     0.000  -0.605082   0.021019   0.017646   0.038665   0.000238  -0.017424  -0.059053  -0.000002   0.000114   30.0000    -0.0444
   -9.000     0.000  -0.562205   0.018309   0.016940   0.035249   0.000325  -0.017443  -0.059727  -0.000031   0.000080   30.0000    -0.0488
   -8.500     0.000  -0.519485   0.015789   0.016310   0.032098   0.000409  -0.017461  -0.060497  -0.000061   0.000046   30.0000    -0.0538
   -8.000     0.000  -0.476938   0.013461   0.015765   0.029226   0.000492  -0.017480  -0.061362  -0.000093   0.000011   30.0000    -0.0599
