xflr5 v6.43

Plane name :        left aileron -12
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.146777   0.005339   0.013281   0.018620   0.003777  -0.041114  -0.003225  -0.001076  -0.000831   30.0000    -0.0130
   -2.500     0.000  -0.106159   0.004800   0.013147   0.017947   0.003904  -0.041251  -0.005005  -0.001156  -0.000929   30.0000    -0.0265
   -2.000     0.000  -0.064213   0.004434   0.013086   0.017521   0.004025  -0.041478  -0.007861  -0.001234  -0.001029   30.0000    -0.0655
   -1.500     0.000  -0.020963   0.004207   0.012896   0.017103   0.004128  -0.041683  -0.011943  -0.001324  -0.001128   30.0000    -0.2935
   -1.000     0.000   0.022025   0.004191   0.012527   0.016719   0.004223  -0.041583  -0.016234  -0.001375  -0.001222   30.0000     0.3709
   -0.500     0.000   0.062786   0.004188   0.012294   0.016482   0.004346  -0.041328  -0.019315  -0.001469  -0.001314   30.0000     0.1529
    0.000     0.000   0.101601   0.004757   0.012302   0.017059   0.004420  -0.041264  -0.021081  -0.001570  -0.001404   30.0000     0.1023
    0.500     0.000   0.139345   0.005398   0.012312   0.017710   0.004527  -0.041366  -0.022302  -0.001653  -0.001498   30.0000     0.0784
    1.000     0.000   0.176853   0.006238   0.012423   0.018662   0.004641  -0.041509  -0.023551  -0.001765  -0.001594   30.0000     0.0647
    1.500     0.000   0.214399   0.007269   0.012672   0.019941   0.004757  -0.041641  -0.025027  -0.001859  -0.001690   30.0000     0.0562
    2.000     0.000   0.251993   0.008488   0.012891   0.021379   0.004871  -0.041754  -0.026738  -0.001977  -0.001786   30.0000     0.0506
    2.500     0.000   0.289579   0.009898   0.013049   0.022948   0.004986  -0.041855  -0.028640  -0.002081  -0.001881   30.0000     0.0467
    3.000     0.000   0.327100   0.011504   0.013218   0.024722   0.005079  -0.041948  -0.030694  -0.002160  -0.001967   30.0000     0.0439
    3.500     0.000   0.364507   0.013306   0.013437   0.026742   0.005198  -0.042034  -0.032865  -0.002243  -0.002065   30.0000     0.0418
    4.000     0.000   0.401759   0.015307   0.013668   0.028974   0.005328  -0.042117  -0.035137  -0.002320  -0.002165   30.0000     0.0401
    4.500     0.000   0.438823   0.017509   0.013960   0.031469   0.005322  -0.042201  -0.037488  -0.002352  -0.002210   30.0000     0.0389
    5.000     0.000   0.475671   0.019909   0.014398   0.034307   0.005459  -0.042283  -0.039910  -0.002441  -0.002314   30.0000     0.0379
    5.500     0.000   0.512277   0.022508   0.014771   0.037279   0.005566  -0.042365  -0.042392  -0.002506  -0.002406   30.0000     0.0370
    6.000     0.000   0.548622   0.025305   0.015184   0.040489   0.005674  -0.042447  -0.044927  -0.002569  -0.002494   30.0000     0.0364
    6.500     0.000   0.584686   0.028298   0.015602   0.043899   0.005802  -0.042530  -0.047509  -0.002656  -0.002588   30.0000     0.0358
    7.000     0.000   0.620452   0.031488   0.016031   0.047519   0.005866  -0.042614  -0.050135  -0.002690  -0.002649   30.0000     0.0354
    7.500     0.000   0.655903   0.034869   0.016485   0.051354   0.005838  -0.042701  -0.052798  -0.002715  -0.002696   30.0000     0.0350
    8.000     0.000   0.691027   0.038440   0.016963   0.055403   0.005974  -0.042788  -0.055499  -0.002780  -0.002788   30.0000     0.0347
    8.500     0.000   0.725811   0.042201   0.017508   0.059709   0.006086  -0.042877  -0.058239  -0.002840  -0.002869   30.0000     0.0345
    9.000     0.000   0.760241   0.046147   0.018037   0.064184   0.006201  -0.042967  -0.061010  -0.002896  -0.002950   30.0000     0.0343
